state,city,popular_destination,latitude,longitude,interest,google_rating,price_fare,place_category,estimated_visits,popularity_score,best_season_to_visit,crowd_level,synthetic_review,sentiment_score,experience_score,item_id
Sikkim,Ravangla,Doling Gompa,27.3516407,88.3239309,Religious & Spiritual Pilgrimages,5.0,0,Religious,184533,22.4,October to March,High,Doling Gompa  is a highly recommended religious destination with an excellent overall experience.,0.29,21.915,1
Uttarakhand,Mussoorie,Walking towards the Happy Valley from Library Head,30.4597892,78.0643723,Sightseeing & Exploration,5.0,0,Urban,27433,3.297323514,October to March,High,Walking towards the Happy Valley from Library Head is a highly recommended urban destination with an excellent overall experience.,0.392,3.747464703,2
Sikkim,Namchi,Tendong Hill & Biodiversity park,27.3516407,88.3239309,Natural Landscapes & Wildlife,5.0,0,Wildlife,28000,3.303468756,November to April,High,Tendong Hill & Biodiversity park is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.740693751,3
Andaman and Nicobar Islands,Havelock Island,Elephant beach,12.0081083,92.9416061,Natural Landscapes & Wildlife,4.4,0,Wildlife,24953,2.910444853,November to April,High,Elephant beach is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.698755637,4
Goa,Goa,Candolim Beach,15.5552787,73.7517307,Natural Landscapes & Wildlife,4.4,0,Wildlife,24947,2.910379824,November to April,High,Candolim Beach is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.698742631,5
Kerala,Kannur,Muzhappilangad Beach,11.6716011,76.3686564,Natural Landscapes & Wildlife,4.4,0,Wildlife,24944,2.910347309,November to April,High,Muzhappilangad Beach is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.698736128,6
Jharkhand,Ranchi,Patratu valley,23.5755504,85.2741613,Natural Landscapes & Wildlife,4.4,0,Wildlife,24882,2.909675343,November to April,High,Patratu valley is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.698601735,7
Sikkim,Gangtok,Sunrise at Tashi view point,27.3706406,88.616133,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.4,0,Wildlife,24843,2.909252654,November to April,High,Sunrise at Tashi view point is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.698517197,8
Rajasthan,Jaisalmer,Gadisar Lake,27.5229395,70.1564799,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.4,0,Wildlife,24749,2.908233866,November to April,High,Gadisar Lake is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.69831344,9
Uttarakhand,Rishikesh,Neer Garh waterfall,30.1409843,78.3453658,Natural Landscapes & Wildlife,4.4,0,Wildlife,24704,2.907746148,November to April,High,Neer Garh waterfall is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.698215896,10
Puducherry,Puducherry,Paradise beach and island,11.9415915,79.8083133,"Natural Landscapes & Wildlife, Sightseeing & Exploration",4.4,0,Wildlife,24694,2.907637767,November to April,High,Paradise beach and island is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.69819422,11
Andaman and Nicobar Islands,Baratang Island,Mangrove creeks,10.7448873,92.4999918,Natural Landscapes & Wildlife,4.4,0,Wildlife,24673,2.907410165,November to April,High,Mangrove creeks is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.6981487,12
Uttarakhand,Uttarkashi,Nachiketa lake,30.6447151,78.4708143,Natural Landscapes & Wildlife,4.4,0,Wildlife,24591,2.906521435,November to April,High,Nachiketa lake is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.697970954,13
Karnataka,Bangalore,Cubbon Park,12.9494158,77.5846805,Natural Landscapes & Wildlife,4.4,0,Wildlife,24499,2.905524324,November to April,High,Cubbon Park is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.697771531,14
Tamil Nadu,Chennai,Ubbalamadugu falls,13.6041974,80.2561119,Natural Landscapes & Wildlife,4.4,0,Wildlife,24477,2.905285884,November to April,High,Ubbalamadugu falls is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.697723843,15
Sikkim,Gangtok,Seven Sisters waterfall,27.44375253,88.60777208,Natural Landscapes & Wildlife,4.4,0,Wildlife,24430,2.90477649,November to April,High,Seven Sisters waterfall is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.697621965,16
West Bengal,Sundarbans,Dublar Char island,21.7728061,89.5591963,Natural Landscapes & Wildlife,4.4,0,Wildlife,24394,2.904386316,November to April,High,Dublar Char island is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.69754393,17
Andhra Pradesh,Srisailam,Srisailam Wildlife sanctuary,16.0737457,78.8726842,Natural Landscapes & Wildlife,4.4,0,Wildlife,24390,2.904342963,November to April,High,Srisailam Wildlife sanctuary is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.697535259,18
West Bengal,Sundarbans,Kotka beach,21.8449338,89.7960898,Natural Landscapes & Wildlife,4.4,0,Wildlife,24383,2.904267096,November to April,High,Kotka beach is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.697520086,19
Uttar Pradesh,Mathura,Kusum Sarovar,27.511932,77.4786939,Natural Landscapes & Wildlife,4.4,0,Wildlife,24364,2.904061171,November to April,High,Kusum Sarovar is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.697478901,20
Odisha,Balasore,Balaramgadi beach,21.4727,86.8798117,"Natural Landscapes & Wildlife,Adventure & Outdoor Activities,  Sightseeing & Exploration",4.4,0,Wildlife,24355,2.903963627,November to April,High,Balaramgadi beach is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.697459392,21
Odisha,Berhampur,Khasada waterfall,19.2558881,83.9811665,"Natural Landscapes & Wildlife, Adventure & Outdoor Activities",4.4,0,Wildlife,24328,2.903670997,November to April,High,Khasada waterfall is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.697400866,22
Odisha,Puri,Chilika lake,19.8449627,85.8257455,Natural Landscapes & Wildlife,4.4,0,Wildlife,24305,2.903421719,November to April,High,Chilika lake is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.69735101,23
