item_id,popular_destination,city,state,cf_score,latitude,longitude,place_category,interest,best_season_to_visit,crowd_level,google_rating,price_fare,estimated_visits,popularity_score,synthetic_review,sentiment_score,experience_score
185,Meghamalai,Madurai,Tamil Nadu,1.0655351947372478,9.8821748,80.2707184,Wildlife,"Natural Landscapes & Wildlife, Sightseeing & Exploration",November to April,High,4.1,0,23016,2.709451318,Meghamalai is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.50855693
497,Chowk market,Lucknow,Uttar Pradesh,0.9240832980446694,26.8658585,80.9112496,Urban,Shopping & Markets,October to March,High,4.3,0,24101,2.841210732,Chowk market is a popular urban place offering a pleasant and enjoyable visit.,0.458333333,3.405742146
2,Walking towards the Happy Valley from Library Head,Mussoorie,Uttarakhand,0.857168376973727,30.4597892,78.0643723,Urban,Sightseeing & Exploration,October to March,High,5.0,0,27433,3.297323514,Walking towards the Happy Valley from Library Head is a highly recommended urban destination with an excellent overall experience.,0.392,3.747464703
501,Mannarasala Sree Nagaraja Temple,Alappuzha,Kerala,0.8299725091064499,9.3669421,76.5141883,Religious,Religious & Spiritual Pilgrimages,October to March,High,4.3,0,24078,2.840961454,Mannarasala Sree Nagaraja Temple is a popular religious place offering a pleasant and enjoyable visit.,0.458333333,3.405692291
807,Godowlia market,Varanasi,Uttar Pradesh,0.7855906792686933,25.3100747,83.0096485,Urban,Shopping & Markets,October to March,High,4.5,0,25004,2.970997599,Godowlia market is a highly recommended urban destination with an excellent overall experience.,0.29,3.27919952
558,Padmaja Naidu zoological park,Darjeeling,West Bengal,0.7780522312658521,27.0586099,88.254405,Wildlife,Natural Landscapes & Wildlife,November to April,Medium,4.5,110,4658,2.750484195,Padmaja Naidu zoological park is a highly recommended wildlife destination with an excellent overall experience.,0.386666667,3.380096839
296,Beatles Ashram,Rishikesh,Uttarakhand,0.7762662637354654,30.1127675,78.3121592,Urban,"Arts, Science & Literature Attractions",October to March,High,4.4,0,24399,2.904440507,Beatles Ashram is a popular urban place offering a pleasant and enjoyable visit.,0.458333333,3.468388101
5,Candolim Beach,Goa,Goa,0.7613298340770026,15.5552787,73.7517307,Wildlife,Natural Landscapes & Wildlife,November to April,High,4.4,0,24947,2.910379824,Candolim Beach is a popular wildlife place offering a pleasant and enjoyable visit.,0.611111111,3.698742631
800,Tilak Dwar market,Mathura,Uttar Pradesh,0.7340709655536783,27.4990503,77.6847491,Urban,Shopping & Markets,October to March,High,4.5,0,25083,2.971853815,Tilak Dwar market is a highly recommended urban destination with an excellent overall experience.,0.29,3.279370763
308,ISKON temple,Siliguri,West Bengal,0.7086758709260097,26.729,88.4433,Religious,Religious & Spiritual Pilgrimages,October to March,High,4.4,0,24258,2.902912325,ISKON temple is a popular religious place offering a pleasant and enjoyable visit.,0.458333333,3.468082465
