item_id,popular_destination,city,state,latitude,longitude,synthetic_review,google_rating_norm,popularity_score_norm,estimated_visits_norm,sentiment_score_norm,experience_score_norm,price_fare_norm,place_category_Beach,place_category_Religious,place_category_Urban,place_category_Wildlife,interest_Adventure & Outdoor,interest_Adventure & Outdoor Activities,"interest_Adventure & Outdoor Activities, Natural Landscapes & Wildlife","interest_Adventure & Outdoor Activities, Sightseeing & Exploration","interest_Adventure & Outdoor Activities,Sightseeing & Exploration","interest_Arts, Science & Literature Attractions","interest_Arts, Science & Literature Attractions, Cultural & Heritage Sites","interest_Arts, Science & Literature Attractions, Sightseeing & Exploration","interest_Culinary & Food Experiences, Shopping & Markets",interest_Cultural & Heritage,interest_Cultural & Heritage Sites,"interest_Cultural & Heritage Sites, Arts, Science & Literature Attractions","interest_Cultural & Heritage Sites, Natural Landscapes & Wildlife","interest_Cultural & Heritage Sites, Religious & Spiritual Pilgrimages","interest_Cultural & Heritage Sites, Shopping & Markets","interest_Cultural & Heritage Sites, Sightseeing & Exploration",interest_Natural Landscapes & Wildlife,"interest_Natural Landscapes & Wildlife, Adventure & Outdoor Activities","interest_Natural Landscapes & Wildlife, Adventure & Outdoor Activities, Sightseeing & Exploration","interest_Natural Landscapes & Wildlife, Beach","interest_Natural Landscapes & Wildlife, Religious & Spiritual Pilgrimages","interest_Natural Landscapes & Wildlife, Sightseeing & Exploration","interest_Natural Landscapes & Wildlife,Adventure & Outdoor Activities,  Sightseeing & Exploration",interest_Religious & Spiritual Pilgrimages,"interest_Religious & Spiritual Pilgrimages, Cultural & Heritage Sites","interest_Religious & Spiritual Pilgrimages, Natural Landscapes & Wildlife","interest_Religious & Spiritual Pilgrimages, Sightseeing & Exploration",interest_Shopping & Markets,"interest_Shopping & Markets, Arts, Science & Literature Attractions",interest_Sightseeing & Exploration,"interest_Sightseeing & Exploration, Cultural & Heritage Sites","interest_Sightseeing & Exploration, Natural Landscapes & Wildlife",interest_Sports & Recreation,crowd_level_High,crowd_level_Low,crowd_level_Medium,best_season_to_visit_November to April,best_season_to_visit_October to March,state_Andaman and Nicobar Islands,state_Andhra Pradesh,state_Arunachal Pradesh,state_Assam,state_Bihar,state_Chhattisgarh,state_Daman and Diu,state_Delhi,state_Goa,state_Gujarat,state_Gujrat,state_Haryana,state_Himachal Pradesh,state_Jammu and Kashmir,state_Jharkhand,state_Karanataka,state_Karnataka,state_Kerala,state_Ladakh,state_Madhya Pradesh,state_Maharahtra,state_Maharashtra,state_Maharastra,state_Meghalaya,state_Nagaland,state_Odisha,state_Puducherry,state_Punjab,state_Rajasthan,state_Sikkim,state_Tamil Nadu,state_Telangana,state_Tripura,state_Uttar Pradesh,state_Uttarakhand,state_West Bengal
0,Doling Gompa,Ravangla,Sikkim,27.3516407,88.3239309,Doling Gompa  is a highly recommended religious destination with an excellent overall experience.,1.0000000000000002,0.9999999999999999,1.0,0.3505617973937633,0.9999999999999999,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,Walking towards the Happy Valley from Library Head,Mussoorie,Uttarakhand,30.4597892,78.0643723,Walking towards the Happy Valley from Library Head is a highly recommended urban destination with an excellent overall experience.,1.0000000000000002,0.13676809368350873,0.13536896794646003,0.5568539324106552,0.15098430772861562,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,Tendong Hill & Biodiversity park,Namchi,Sikkim,27.3516407,88.3239309,Tendong Hill & Biodiversity park is a highly recommended wildlife destination with an excellent overall experience.,1.0000000000000002,0.13704579136479042,0.13848956498767173,0.5460674162211843,0.15066788371150827,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3,Elephant beach,Havelock Island,Andaman and Nicobar Islands,12.0081083,92.9416061,Elephant beach is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.11928541243237836,0.12171979570271224,1.0,0.14870800768494866,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,Candolim Beach,Goa,Goa,15.5552787,73.7517307,Candolim Beach is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.11928247383329371,0.12168677351179993,1.0,0.14870739988108791,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,Muzhappilangad Beach,Kannur,Kerala,11.6716011,76.3686564,Muzhappilangad Beach is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.11928100451115686,0.1216702624163438,1.0,0.14870709597915754,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Patratu valley,Ranchi,Jharkhand,23.5755504,85.2741613,Patratu valley is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.11925063900234531,0.12132903311025009,1.0,0.14870081544830588,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,Sunrise at Tashi view point,Gangtok,Sikkim,27.3706406,88.616133,Sunrise at Tashi view point is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.11923153808570064,0.12111438886932019,1.0,0.14869686476994365,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8,Gadisar Lake,Jaisalmer,Rajasthan,27.5229395,70.1564799,Gadisar Lake is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.11918550001831166,0.12059704121169426,1.0,0.14868734268081146,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
9,Neer Garh waterfall,Rishikesh,Uttarakhand,30.1409843,78.3453658,Neer Garh waterfall is a popular wildlife place offering a pleasant and enjoyable visit.,0.8695652173913044,0.11916346050258239,0.12034937477985205,1.0,0.14868278419858846,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
